word|state|url|audio
because|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231141_18.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-30399-merge.wav|because.wav
become|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231159_18.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-04793-merge.wav|become.wav
bed|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231218_19.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-90051-merge.wav|bed.wav
beep|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231237_18.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-92320-merge.wav|beep.wav
before|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231256_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-99406-merge.wav|before.wav
begin|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231316_20.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-52266-merge.wav|begin.wav
behind|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231335_18.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-35616-merge.wav|behind.wav
bell|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231354_18.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-17054-merge.wav|bell.wav
bench|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231412_18.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-42205-merge.wav|bench.wav
beside|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231432_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-15351-merge.wav|beside.wav
best|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231451_19.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-47007-merge.wav|best.wav
best wishes|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231511_19.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len11-77913-merge.wav|best wishes.wav
between|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231530_19.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-14031-merge.wav|between.wav
bicycle|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231549_18.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-73937-merge.wav|bicycle.wav
big|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231609_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-42678-merge.wav|big.wav
big-small/little|error||[Errno 2] No such file or directory: 'D:\\project\\eng-ai-teacher\\test_audio\\audio\\big-small/little.wav'
bike|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231654_19.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-32030-merge.wav|bike.wav
bikeride|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231713_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len8-31478-merge.wav|bikeride.wav
bird|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231733_19.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-29753-merge.wav|bird.wav
birthday|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231752_19.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len8-90004-merge.wav|birthday.wav
black|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231812_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-05407-merge.wav|black.wav
blackboard|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231832_19.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len10-76038-merge.wav|blackboard.wav
blind|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231851_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-59223-merge.wav|blind.wav
